Player 1, X: 5, Y: 5(MISS,  SHIP NOT SUNK)
Player 2, X: 4, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 6, Y: 9(MISS,  SHIP NOT SUNK)
Player 2, X: 0, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 6, Y: 7(MISS,  SHIP NOT SUNK)
Player 2, X: 8, Y: 2(MISS,  SHIP NOT SUNK)
Player 1, X: 1, Y: 4(HIT,  SHIP NOT SUNK)
Player 2, X: 7, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 1, Y: 3(HIT,  SHIP NOT SUNK)
Player 2, X: 2, Y: 3(MISS,  SHIP NOT SUNK)
Player 1, X: 1, Y: 2(HIT,  SHIP NOT SUNK)
Player 2, X: 8, Y: 6(MISS,  SHIP NOT SUNK)
Player 1, X: 1, Y: 5(HIT,  SHIP SUNK)
Player 2, X: 1, Y: 2(MISS,  SHIP NOT SUNK)
Player 1, X: 3, Y: 3(MISS,  SHIP NOT SUNK)
Player 2, X: 2, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 3, Y: 6(MISS,  SHIP NOT SUNK)
Player 2, X: 0, Y: 0(MISS,  SHIP NOT SUNK)
Player 1, X: 3, Y: 8(MISS,  SHIP NOT SUNK)
Player 2, X: 6, Y: 6(HIT,  SHIP NOT SUNK)
Player 1, X: 2, Y: 0(MISS,  SHIP NOT SUNK)
Player 2, X: 7, Y: 6(MISS,  SHIP NOT SUNK)
Player 1, X: 6, Y: 3(MISS,  SHIP NOT SUNK)
Player 2, X: 6, Y: 7(MISS,  SHIP NOT SUNK)
Player 1, X: 2, Y: 7(MISS,  SHIP NOT SUNK)
Player 2, X: 8, Y: 7(MISS,  SHIP NOT SUNK)
Player 1, X: 1, Y: 8(MISS,  SHIP NOT SUNK)
Player 2, X: 8, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 0, Y: 9(MISS,  SHIP NOT SUNK)
Player 2, X: 3, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 6, Y: 2(MISS,  SHIP NOT SUNK)
Player 2, X: 0, Y: 2(MISS,  SHIP NOT SUNK)
Player 1, X: 8, Y: 4(MISS,  SHIP NOT SUNK)
Player 2, X: 1, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 8, Y: 8(MISS,  SHIP NOT SUNK)
Player 2, X: 3, Y: 6(MISS,  SHIP NOT SUNK)
Player 1, X: 2, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 6, Y: 2(MISS,  SHIP NOT SUNK)
Player 1, X: 3, Y: 4(MISS,  SHIP NOT SUNK)
Player 2, X: 8, Y: 3(MISS,  SHIP NOT SUNK)
Player 1, X: 2, Y: 6(MISS,  SHIP NOT SUNK)
Player 2, X: 6, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 1, Y: 6(MISS,  SHIP NOT SUNK)
Player 2, X: 3, Y: 7(MISS,  SHIP NOT SUNK)
Player 1, X: 5, Y: 7(MISS,  SHIP NOT SUNK)
Player 2, X: 2, Y: 0(MISS,  SHIP NOT SUNK)
Player 1, X: 5, Y: 8(MISS,  SHIP NOT SUNK)
Player 2, X: 1, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 5, Y: 4(MISS,  SHIP NOT SUNK)
Player 2, X: 1, Y: 6(MISS,  SHIP NOT SUNK)
Player 1, X: 6, Y: 5(MISS,  SHIP NOT SUNK)
Player 2, X: 2, Y: 2(MISS,  SHIP NOT SUNK)
Player 1, X: 8, Y: 5(HIT,  SHIP NOT SUNK)
Player 2, X: 2, Y: 7(MISS,  SHIP NOT SUNK)
Player 1, X: 9, Y: 5(HIT,  SHIP SUNK)
Player 2, X: 1, Y: 4(MISS,  SHIP NOT SUNK)
Player 1, X: 9, Y: 6(MISS,  SHIP NOT SUNK)
Player 2, X: 4, Y: 6(HIT,  SHIP NOT SUNK)
Player 1, X: 3, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 7, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 5, Y: 6(MISS,  SHIP NOT SUNK)
Player 2, X: 8, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 5, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 6, Y: 1(MISS,  SHIP NOT SUNK)
Player 1, X: 7, Y: 1(MISS,  SHIP NOT SUNK)
Player 2, X: 4, Y: 0(MISS,  SHIP NOT SUNK)
Player 1, X: 9, Y: 3(MISS,  SHIP NOT SUNK)
Player 2, X: 2, Y: 5(MISS,  SHIP NOT SUNK)
Player 1, X: 4, Y: 5(HIT,  SHIP NOT SUNK)
Player 2, X: 7, Y: 0(HIT,  SHIP NOT SUNK)
Player 1, X: 3, Y: 5(MISS,  SHIP NOT SUNK)
Player 2, X: 3, Y: 8(MISS,  SHIP NOT SUNK)
Player 1, X: 4, Y: 6(HIT,  SHIP SUNK)
Player 2, X: -1, Y: -1(MISS,  SHIP NOT SUNK)
**Player 1 Won**

--Player 1 Stats--
Total Hits: 17
Total Misses: 60
Total Shots: 77
Hit / Miss Ratio: 28.33%
Win (0 for loss, 1 for win): 1

--Player 2 Stats--
Total Hits: 16
Total Misses: 60
Total Shots: 76
Hit / Miss Ratio:  26.67%
Win (0 for loss, 1 for win): 0
